time,filter,magnitude,error
2457511.76329,OGLE-I,13.724,0.003
2457511.78742,OGLE-I,13.723,0.003
2457511.80163,OGLE-I,13.722,0.003
2457511.82674,OGLE-I,13.727,0.003
2457511.84164,OGLE-I,13.727,0.003
2457511.85641,OGLE-I,13.71,0.003
2457511.87067,OGLE-I,13.729,0.003
2457511.8847,OGLE-I,13.721,0.003
2457511.89932,OGLE-I,13.721,0.003
2457511.91342,OGLE-I,13.722,0.003
2457511.92735,OGLE-I,13.723,0.003
2457511.93678,OGLE-I,13.724,0.003
2457512.70396,OGLE-I,13.718,0.003
2457512.71961,OGLE-I,13.719,0.003
2457512.73153,OGLE-I,13.722,0.003
2457512.74348,OGLE-I,13.722,0.003
2457512.75319,OGLE-I,13.721,0.003
2457512.7643,OGLE-I,13.724,0.003
2457512.7739,OGLE-I,13.726,0.003
2457512.78319,OGLE-I,13.722,0.003
2457512.79373,OGLE-I,13.722,0.003
2457512.81736,OGLE-I,13.729,0.003
2457512.83229,OGLE-I,13.72,0.003
2457512.85603,OGLE-I,13.721,0.003
2457512.87042,OGLE-I,13.726,0.003
2457512.8844,OGLE-I,13.723,0.003
2457512.89852,OGLE-I,13.719,0.003
2457512.9125,OGLE-I,13.724,0.003
2457512.93063,OGLE-I,13.719,0.003
2457513.74888,OGLE-I,13.723,0.003
2457516.63455,OGLE-I,13.721,0.003
2457516.64928,OGLE-I,13.713,0.003
2457516.66356,OGLE-I,13.715,0.003
2457516.68557,OGLE-I,13.716,0.003
2457516.70804,OGLE-I,13.718,0.003
2457516.72444,OGLE-I,13.721,0.003
2457516.77064,OGLE-I,13.716,0.003
2457516.7964,OGLE-I,13.721,0.003
2457518.73426,OGLE-I,13.72,0.003
2457518.78999,OGLE-I,13.715,0.003
2457518.88148,OGLE-I,13.72,0.003
2457518.9018,OGLE-I,13.721,0.003
2457519.81017,OGLE-I,13.722,0.003
2457520.76089,OGLE-I,13.716,0.003
2457522.72827,OGLE-I,13.717,0.003
2457522.7935,OGLE-I,13.719,0.003
2457522.81928,OGLE-I,13.717,0.003
2457522.83811,OGLE-I,13.717,0.003
2457522.85224,OGLE-I,13.718,0.003
2457522.86626,OGLE-I,13.713,0.003
2457522.88077,OGLE-I,13.713,0.003
2457522.89506,OGLE-I,13.715,0.003
2457522.90911,OGLE-I,13.718,0.003
2457522.92496,OGLE-I,13.713,0.003
2457522.93894,OGLE-I,13.72,0.003
2457523.85063,OGLE-I,13.705,0.003
2457523.86483,OGLE-I,13.719,0.003
2457523.87906,OGLE-I,13.714,0.003
2457523.89318,OGLE-I,13.704,0.003
2457523.90727,OGLE-I,13.716,0.003
2457523.92134,OGLE-I,13.717,0.003
2457523.93539,OGLE-I,13.717,0.003
2457526.6107,OGLE-I,13.717,0.003
2457526.63037,OGLE-I,13.716,0.003
2457526.64555,OGLE-I,13.719,0.003
2457526.66078,OGLE-I,13.722,0.003
2457526.6755,OGLE-I,13.718,0.003
2457526.69031,OGLE-I,13.717,0.003
2457526.70612,OGLE-I,13.718,0.003
2457526.72069,OGLE-I,13.717,0.003
2457526.73507,OGLE-I,13.72,0.003
2457526.7567,OGLE-I,13.721,0.003
2457526.78595,OGLE-I,13.721,0.003
2457526.80161,OGLE-I,13.718,0.003
2457526.82903,OGLE-I,13.722,0.003
2457526.84714,OGLE-I,13.719,0.003
2457526.86123,OGLE-I,13.719,0.003
2457526.87627,OGLE-I,13.721,0.003
2457526.89036,OGLE-I,13.715,0.003
2457526.90449,OGLE-I,13.719,0.003
2457526.91867,OGLE-I,13.717,0.003
2457526.93268,OGLE-I,13.718,0.003
2457527.92146,OGLE-I,13.722,0.003
2457527.93246,OGLE-I,13.725,0.003
2457528.76753,OGLE-I,13.72,0.003
2457528.84529,OGLE-I,13.726,0.003
2457528.86859,OGLE-I,13.725,0.003
2457528.88337,OGLE-I,13.722,0.003
2457528.89759,OGLE-I,13.725,0.003
2457528.91193,OGLE-I,13.722,0.003
2457528.92599,OGLE-I,13.72,0.003
2457528.94001,OGLE-I,13.723,0.003
2457529.75222,OGLE-I,13.72,0.003
2457529.76718,OGLE-I,13.721,0.003
2457529.78255,OGLE-I,13.72,0.003
2457529.79784,OGLE-I,13.72,0.003
2457529.81224,OGLE-I,13.72,0.003
2457529.84357,OGLE-I,13.724,0.003
2457529.89111,OGLE-I,13.72,0.003
2457530.63543,OGLE-I,13.72,0.003
2457530.64829,OGLE-I,13.718,0.003
2457530.66422,OGLE-I,13.718,0.003
2457530.67652,OGLE-I,13.718,0.003
2457530.69417,OGLE-I,13.717,0.003
2457530.71438,OGLE-I,13.718,0.003
2457530.74009,OGLE-I,13.72,0.003
2457530.76228,OGLE-I,13.719,0.003
2457530.77895,OGLE-I,13.721,0.003
2457530.79979,OGLE-I,13.724,0.003
2457530.81899,OGLE-I,13.721,0.003
2457530.83585,OGLE-I,13.724,0.003
2457530.85806,OGLE-I,13.719,0.003
2457530.88037,OGLE-I,13.709,0.003
2457530.904,OGLE-I,13.717,0.003
2457530.91589,OGLE-I,13.722,0.003
2457534.64963,OGLE-I,13.719,0.003
2457534.65903,OGLE-I,13.724,0.003
