time,filter,magnitude,error
57508.9321,OGLE-I,13.727,0.003
57509.72409,OGLE-I,13.725,0.003
57509.73859,OGLE-I,13.721,0.003
57509.75269,OGLE-I,13.725,0.003
57509.767,OGLE-I,13.723,0.003
57509.78105,OGLE-I,13.722,0.003
57509.79595,OGLE-I,13.724,0.003
57509.81091,OGLE-I,13.721,0.003
57509.82559,OGLE-I,13.721,0.003
57509.8411,OGLE-I,13.726,0.003
57509.85548,OGLE-I,13.725,0.003
57509.86959,OGLE-I,13.726,0.003
57509.88369,OGLE-I,13.725,0.003
57509.89821,OGLE-I,13.725,0.003
57509.9124,OGLE-I,13.718,0.003
57509.92928,OGLE-I,13.721,0.003
57511.67864,OGLE-I,13.727,0.003
57511.69304,OGLE-I,13.716,0.003
57511.70706,OGLE-I,13.719,0.003
57511.72103,OGLE-I,13.725,0.003
57511.73507,OGLE-I,13.723,0.003
57511.74913,OGLE-I,13.723,0.003
57511.76329,OGLE-I,13.724,0.003
57511.78742,OGLE-I,13.723,0.003
57511.80163,OGLE-I,13.722,0.003
57511.82674,OGLE-I,13.727,0.003
57511.84164,OGLE-I,13.727,0.003
57511.85641,OGLE-I,13.71,0.003
57511.87067,OGLE-I,13.729,0.003
57511.8847,OGLE-I,13.721,0.003
57511.89932,OGLE-I,13.721,0.003
57511.91342,OGLE-I,13.722,0.003
57511.92735,OGLE-I,13.723,0.003
57511.93678,OGLE-I,13.724,0.003
57512.70396,OGLE-I,13.718,0.003
57512.71961,OGLE-I,13.719,0.003
57512.73153,OGLE-I,13.722,0.003
57512.74348,OGLE-I,13.722,0.003
57512.75319,OGLE-I,13.721,0.003
57512.7643,OGLE-I,13.724,0.003
57512.7739,OGLE-I,13.726,0.003
57512.78319,OGLE-I,13.722,0.003
57512.79373,OGLE-I,13.722,0.003
57512.81736,OGLE-I,13.729,0.003
57512.83229,OGLE-I,13.72,0.003
57512.85603,OGLE-I,13.721,0.003
57512.87042,OGLE-I,13.726,0.003
57512.8844,OGLE-I,13.723,0.003
57512.89852,OGLE-I,13.719,0.003
57512.9125,OGLE-I,13.724,0.003
57512.93063,OGLE-I,13.719,0.003
57513.74888,OGLE-I,13.723,0.003
57516.63455,OGLE-I,13.721,0.003
57516.64928,OGLE-I,13.713,0.003
57516.66356,OGLE-I,13.715,0.003
57516.68557,OGLE-I,13.716,0.003
57516.70804,OGLE-I,13.718,0.003
57516.72444,OGLE-I,13.721,0.003
57516.77064,OGLE-I,13.716,0.003
57516.7964,OGLE-I,13.721,0.003
57518.73426,OGLE-I,13.72,0.003
57518.78999,OGLE-I,13.715,0.003
57518.88148,OGLE-I,13.72,0.003
57518.9018,OGLE-I,13.721,0.003
57519.81017,OGLE-I,13.722,0.003
57520.76089,OGLE-I,13.716,0.003
57522.72827,OGLE-I,13.717,0.003
57522.7935,OGLE-I,13.719,0.003
57522.81928,OGLE-I,13.717,0.003
57522.83811,OGLE-I,13.717,0.003
57522.85224,OGLE-I,13.718,0.003
57522.86626,OGLE-I,13.713,0.003
57522.88077,OGLE-I,13.713,0.003
