RA,DEC
18:10:47.8310,-29:23:23.210
18:10:45.2270,-29:19:50.420
18:09:00.1210,-29:10:49.660
18:11:49.1940,-29:14:26.670
18:11:38.5970,-29:05:50.940
18:09:02.6060,-29:42:18.890
18:09:00.2060,-29:39:48.220
18:09:30.3090,-29:37:00.830
18:11:08.9810,-29:43:09.180
18:10:57.6420,-29:41:06.980
18:10:17.5080,-29:29:35.910
18:11:42.9940,-29:34:41.100
18:09:38.0290,-30:05:18.480
18:09:29.6010,-29:57:07.840
18:10:50.2380,-30:00:08.930
18:09:13.8340,-29:47:36.560
18:09:12.0260,-29:54:25.550
18:09:20.7060,-29:55:48.730
18:13:19.3340,-29:49:26.690
18:12:13.1160,-29:53:38.390
18:12:44.1040,-29:49:12.510
18:12:31.6150,-29:57:27.560
18:12:29.2910,-30:04:47.720
18:14:17.5890,-29:27:43.770
18:13:55.6700,-29:30:37.160
18:13:50.4350,-29:29:47.720
18:12:56.0090,-29:28:18.360
18:12:44.0810,-29:33:38.560
18:14:54.4440,-29:36:15.910
18:14:06.0150,-29:45:26.640
18:12:50.9690,-29:35:48.370
18:12:59.1780,-29:35:44.720
18:13:24.6840,-29:39:41.170
18:12:38.5640,-29:45:27.350
18:12:46.8270,-29:40:14.880
18:12:07.7660,-29:44:09.530
18:14:17.0370,-29:11:26.120
18:12:06.1940,-29:13:26.330
18:14:42.9050,-29:22:37.500
18:13:37.6840,-29:15:22.560
18:13:40.4410,-29:24:03.860
18:12:31.9240,-29:23:06.880
18:12:29.2000,-29:19:31.730
18:14:52.8610,-28:48:46.330
18:14:40.1300,-28:54:06.230
18:14:59.5570,-29:02:37.780
18:14:51.5260,-28:57:33.060
18:13:07.3790,-28:58:45.380
18:13:33.7750,-29:03:04.650
18:09:41.8500,-26:53:54.600
18:09:50.1800,-26:49:50.020
18:14:43.5120,-26:45:22.980
18:12:21.9050,-26:42:11.320
18:14:49.3010,-26:49:16.450
18:14:06.8620,-26:48:00.530
18:10:06.6190,-27:11:43.040
18:09:57.7310,-27:17:24.950
18:10:50.1270,-27:10:36.790
18:10:30.6670,-27:09:03.330
18:11:22.6400,-27:11:45.500
18:10:02.6870,-27:06:10.720
18:10:09.8140,-27:33:47.040
18:10:09.4300,-27:32:55.060
18:09:55.6870,-27:33:18.740
18:10:48.0760,-27:36:24.340
18:10:36.3870,-27:35:36.340
18:11:26.7460,-27:36:51.280
18:09:28.1310,-27:28:32.200
18:09:33.2670,-27:20:21.840
18:09:26.7210,-27:28:38.400
18:11:10.3510,-27:27:49.160
18:11:09.0790,-27:21:30.640
18:10:49.3370,-27:25:29.720
18:10:14.3400,-27:53:47.100
18:10:23.9360,-27:51:55.760
18:10:39.8660,-27:52:55.890
18:10:44.2820,-27:53:48.870
18:11:08.0390,-27:58:00.230
18:11:23.4900,-27:57:25.270
18:11:40.6860,-27:50:41.610
18:11:58.7980,-27:45:57.800
18:11:52.8900,-27:45:34.470
18:09:53.6790,-28:18:56.590
18:11:31.7750,-28:20:35.240
18:09:38.2010,-28:02:54.250
18:10:16.6730,-28:08:49.520
18:10:06.7040,-28:04:08.960
18:11:53.4420,-28:09:47.800
18:11:16.7230,-28:03:35.660
18:14:47.2390,-28:08:43.040
18:13:56.4030,-28:04:49.560
18:13:12.7910,-28:07:06.830
18:12:39.5820,-28:07:11.410
18:12:38.0840,-28:06:25.690
18:14:21.7880,-28:17:37.020
18:14:50.6000,-28:13:23.900
18:13:48.1000,-28:17:19.610
18:12:06.5220,-28:13:16.580
18:12:09.8280,-28:11:53.470
18:13:47.4960,-27:44:41.270
18:13:50.6040,-27:42:21.520
18:14:00.8400,-27:48:26.140
18:14:08.2600,-27:48:01.610
18:13:21.8330,-27:48:35.390
18:14:36.0590,-27:57:00.920
18:14:59.5610,-27:54:41.460
18:13:59.2030,-27:55:55.440
18:13:49.2290,-27:57:41.210
18:12:54.7970,-27:56:49.700
18:13:17.2180,-27:54:37.230
18:12:21.4980,-27:55:42.010
18:12:11.6280,-27:56:53.710
18:14:55.2660,-27:21:12.060
18:14:42.1190,-27:26:03.530
18:12:25.3570,-27:22:12.130
18:12:09.3080,-27:23:32.650
18:14:26.9670,-27:36:49.770
18:14:42.3770,-27:30:33.490
18:13:57.2600,-27:37:04.470
18:13:15.0140,-27:36:18.610
18:12:24.6170,-27:38:58.350
18:12:10.2880,-27:31:30.810
18:12:11.6640,-27:32:56.580
18:12:39.3600,-27:30:27.710
18:12:39.7640,-27:00:36.580
18:13:48.7690,-27:17:34.340
18:14:00.5770,-27:14:40.460
18:12:25.6830,-27:08:27.040
18:12:23.2340,-27:12:29.940
18:12:44.1300,-27:12:54.160
18:11:01.7450,-24:55:21.270
18:09:07.4770,-25:47:16.650
18:09:12.2000,-25:49:17.890
18:10:32.1340,-25:53:09.830
18:11:39.3230,-25:48:34.570
18:11:38.4410,-25:44:44.260
18:10:59.9280,-25:41:21.760
18:10:39.3650,-25:34:41.940
18:11:02.3640,-25:34:42.690
18:11:57.7990,-25:39:53.140
18:09:27.3220,-26:05:35.400
18:10:08.8220,-26:14:14.750
18:10:44.4360,-26:09:01.170
18:10:50.7400,-26:04:09.180
18:10:08.8910,-25:57:37.870
18:10:13.8220,-26:03:33.460
18:10:56.7430,-25:56:27.210
18:09:31.4690,-26:18:25.410
18:10:37.4120,-26:19:59.080
18:10:52.7930,-26:19:57.260
18:11:14.7550,-26:20:19.530
18:14:42.6350,-26:22:10.070
18:13:05.4620,-26:18:02.720
18:13:58.7450,-26:34:53.540
18:12:31.5380,-26:31:34.880
18:12:31.3680,-26:35:54.510
18:14:50.6590,-25:58:28.870
18:14:22.5100,-26:01:19.050
18:13:24.4540,-25:58:30.520
18:12:31.8130,-25:55:48.460
18:14:57.1960,-26:13:53.610
18:14:03.7580,-26:06:23.650
18:14:17.2490,-26:09:18.680
18:13:59.8600,-26:08:41.800
18:12:20.9460,-26:14:01.680
18:12:23.5570,-26:12:43.450
18:13:28.3800,-25:36:02.570
18:14:37.1150,-25:53:30.100
18:13:32.0410,-25:44:32.410
18:12:13.8570,-25:52:15.150
18:13:33.8440,-25:16:24.260
18:13:45.2630,-25:29:35.870
18:12:34.9280,-25:23:28.150
18:17:24.8560,-24:50:29.560
18:20:11.0150,-24:49:44.040
18:18:15.8140,-24:55:31.860
18:16:15.9720,-25:11:40.840
18:17:17.6590,-25:15:35.320
18:15:57.8230,-25:03:27.570
18:16:35.4930,-25:03:57.470
18:17:56.4660,-24:58:28.590
18:16:07.4540,-25:31:35.950
18:16:52.5070,-25:39:06.180
18:17:12.6240,-25:39:28.500
18:16:37.5510,-25:30:55.230
18:17:54.2960,-25:34:33.660
18:15:36.1700,-25:19:34.950
18:16:05.8160,-25:26:52.590
18:16:16.2060,-25:20:17.360
18:16:12.7440,-25:26:51.320
18:15:51.8450,-25:22:27.410
18:16:44.8170,-25:21:24.090
18:16:03.6570,-25:59:26.770
18:16:48.5970,-25:52:06.520
18:16:46.6430,-25:57:47.890
18:15:16.5710,-26:03:30.430
18:15:30.1540,-26:08:43.970
18:17:23.1550,-26:04:45.970
18:17:43.3230,-26:09:31.770
18:17:38.5960,-26:04:54.960
18:20:57.8430,-26:04:29.530
18:20:59.8320,-26:07:30.800
18:18:51.5250,-26:07:31.200
18:18:52.3520,-26:02:09.330
18:18:10.2410,-26:04:51.520
18:19:52.4290,-26:18:03.840
18:19:32.7090,-25:43:39.960
18:19:11.4010,-25:45:57.400
18:20:41.2570,-25:56:38.430
18:19:47.6150,-25:56:17.670
18:19:48.2870,-25:23:41.990
18:20:00.4120,-25:39:02.620
18:19:12.3930,-25:35:34.070
18:18:03.9760,-25:30:39.950
18:18:45.0040,-25:38:34.880
18:20:21.0900,-25:06:20.400
18:20:05.4630,-25:02:44.230
18:19:21.2660,-24:58:57.140
18:19:22.2990,-25:05:12.450
18:20:53.5860,-25:15:15.840
18:18:36.4910,-25:16:37.000
17:51:29.5050,-33:52:22.400
17:51:00.9120,-33:47:34.580
17:53:07.1690,-33:51:04.720
17:52:36.5460,-33:52:23.790
17:53:20.9780,-33:48:11.160
17:53:37.9520,-33:50:48.820
17:52:00.4150,-33:39:56.250
17:55:36.2510,-33:40:46.430
17:55:14.3380,-33:40:37.520
17:54:40.3870,-33:40:49.030
17:54:06.9630,-33:39:41.060
17:57:00.6720,-33:52:13.810
17:56:03.5080,-33:53:23.840
17:56:17.3510,-33:50:09.590
17:55:29.3960,-33:54:10.030
17:54:19.3730,-33:55:13.220
17:54:06.5070,-33:47:48.500
17:50:59.8790,-34:09:25.020
17:51:34.7330,-34:16:17.320
17:51:34.2090,-34:16:42.340
17:52:16.0110,-34:16:53.880
17:53:07.0920,-34:08:37.920
17:53:36.0510,-34:08:37.660
17:53:52.4660,-34:11:43.490
17:53:58.9380,-34:15:22.930
17:53:50.1050,-34:09:21.490
17:50:55.6310,-33:58:58.280
17:51:19.0890,-33:59:33.990
17:51:14.9550,-34:02:42.460
17:53:29.9910,-34:03:04.080
17:53:24.9100,-34:05:45.050
17:53:27.1610,-34:07:39.750
17:51:12.8890,-34:30:44.490
17:52:05.6620,-34:39:02.380
17:53:06.4970,-34:30:42.850
17:52:28.2460,-34:32:31.450
17:53:57.4090,-34:32:20.180
17:53:25.7510,-34:23:03.840
17:53:22.7190,-34:26:53.940
17:51:29.4450,-34:57:50.640
17:51:49.5440,-34:50:55.250
17:52:44.3590,-34:59:21.810
17:53:11.1560,-34:58:05.870
17:53:10.8560,-34:57:14.810
17:53:11.7440,-34:57:57.540
17:53:17.2530,-34:56:02.710
17:52:17.7530,-34:42:35.190
17:51:56.9590,-34:42:59.650
17:52:30.1090,-34:45:59.100
17:51:45.5580,-35:16:45.750
17:52:04.9440,-35:16:32.070
17:51:59.5520,-35:12:09.330
17:52:12.9560,-35:16:44.640
17:53:10.3210,-35:18:33.650
17:53:24.5950,-35:12:15.280
17:50:57.6810,-35:08:36.770
17:51:22.0400,-35:05:39.300
17:52:38.4310,-35:08:48.940
17:53:03.5720,-35:06:02.140
17:53:47.1480,-35:10:25.160
17:53:12.9410,-35:02:10.590
17:53:13.1340,-35:08:59.770
17:53:45.9630,-35:04:40.140
17:53:48.5350,-35:10:25.090
17:53:54.4550,-35:05:54.070
17:53:37.9730,-35:03:27.950
17:57:15.9280,-35:02:23.900
17:55:56.6570,-35:09:23.450
17:55:37.3370,-35:04:21.350
17:54:15.0090,-35:08:15.810
17:56:43.4500,-35:15:40.480
17:56:13.1040,-35:19:49.380
17:55:32.3580,-35:11:50.060
17:56:45.2830,-34:45:40.470
17:55:49.0130,-34:50:23.800
17:56:12.0570,-34:50:24.620
17:56:21.1410,-34:44:11.980
17:55:58.7050,-34:47:24.750
17:56:07.0950,-34:41:13.770
17:54:39.0430,-34:47:41.820
17:56:44.7250,-34:53:39.360
17:56:48.5190,-34:51:10.050
17:57:13.4770,-34:59:22.640
17:56:48.5240,-34:50:48.740
17:55:12.8510,-34:54:28.570
17:55:32.1310,-34:58:35.710
17:55:00.4130,-34:57:11.660
17:54:53.6090,-34:53:03.800
17:55:35.7540,-34:52:27.580
17:55:09.6660,-34:55:59.640
17:54:54.9170,-34:58:29.190
17:55:21.9910,-34:58:23.450
17:54:08.3470,-34:52:25.480
17:54:25.3160,-35:00:35.710
17:54:17.4430,-34:56:59.230
17:57:16.9150,-34:25:21.040
17:56:36.6740,-34:25:19.730
17:56:31.8790,-34:24:37.770
17:57:15.7010,-34:20:37.470
17:56:12.8630,-34:28:10.420
17:55:37.0920,-34:27:33.180
17:54:49.0390,-34:21:08.920
17:56:20.3820,-34:33:14.020
17:55:54.6920,-34:33:50.760
17:56:27.7680,-34:32:46.090
17:56:05.4850,-34:32:33.570
17:55:52.0730,-34:34:06.040
17:56:15.2320,-34:34:44.920
17:55:33.4520,-34:36:40.610
17:54:58.3190,-34:37:06.120
17:55:00.4500,-34:37:36.200
17:54:54.7120,-34:36:12.380
17:54:16.8630,-34:29:45.120
17:54:32.1830,-34:38:50.720
17:54:08.8870,-34:30:07.310
17:54:23.8180,-34:34:13.230
17:54:34.3960,-34:35:25.700
17:56:59.1940,-34:01:22.710
17:55:47.7210,-34:07:32.090
17:56:13.2080,-34:04:25.260
17:56:14.6500,-34:08:01.090
17:56:02.3530,-34:07:13.550
17:55:18.2180,-34:03:58.350
17:57:08.3440,-34:17:08.010
17:56:56.2400,-34:13:18.330
17:56:44.7520,-34:09:03.120
17:56:08.7110,-34:14:56.460
17:55:21.6540,-34:14:46.920
17:55:24.1890,-34:08:29.830
17:54:42.1980,-34:12:21.260
17:54:11.6120,-34:11:11.380
17:54:39.4830,-34:17:07.000
17:54:47.2360,-34:12:28.130
18:17:12.8390,-23:11:58.170
18:15:46.9380,-22:58:48.580
18:20:23.8250,-23:10:27.760
18:15:41.2150,-23:23:23.750
18:15:19.4840,-23:30:48.310
18:17:04.7300,-23:29:21.010
18:17:43.2060,-23:29:21.200
18:16:47.3240,-23:14:46.270
18:17:54.8620,-23:14:12.890
18:17:34.0720,-23:14:47.470
18:17:31.4200,-23:53:03.460
18:16:27.6090,-23:41:28.790
18:16:50.0440,-23:37:01.660
18:17:30.5780,-23:38:11.290
18:17:29.6620,-23:36:54.480
18:16:05.1270,-24:09:52.130
18:17:49.0980,-24:06:29.370
